AU01677 	12 M Routine Maint. of Grant St Vent Station Fan
AU02048 	    as this will ensure all necessary Traffic Management is in
AU02048 	    place.
AU02048 	"2. Refer to procedure TMI-3012-OP-0042, Tunnel Dust Sampling."
AU02048 	3. The dust sample must be taken from the top of a Jet Fan that
AU02048 	   is located between Burnley Tunnel sections B50 and B54.
AU02048 	Note: There are four Jet Fans located in this section of the Burnley
AU02048 	"Tunnel, these are JFE32 (Right Lane), JFE33 (Left Lane),"
AU02048 	"JFE34 (Right Lane), and JFE35 (Left Lane)."
AU02048 	4. Take two samples from any one of the above Jet Fans.  The two
AU02048 	   samples are to be taken with the use of an uncontaminated
AU02048 	   disposable glove by sweeping up the dust by hand.
AU02048 	   An approximate amount of two tablespoons per sample is
AU02048 	   adequate for testing.  Place the dust samples into two
AU02048 	   separate clear zip bags (sealable bags).  Eye protection
AU02048 	   and a Class P2 Dust mask should be worn whilst taking the
AU02048 	"   samples, as the dust particles may be disturbed and become"
AU02048 	   airborne.
AU02048 	"5. Label both test samples with the Jet Fan number, job number"
AU02048 	   and date.
AU02048 	"6. Forward both samples to the Maintenance Engineer, or"
AU02048 	   Supervisor Elect or his representative who will arrange for
AU02048 	   testing to be carried out by AWN Consultants
AU02048 	   (ph: 03 9758 7299).
AU02121 	Carry out a Level 2 inspection of Burnley Tunnel Structures
AU02121 	
AU02121 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU02121 	1. Perform a level 2 structural inspection on all structural
AU02121 	   components of the Burnley Tunnel.
AU02121 	2. Provide a written report setting out
AU02121 	   (a) the condition of each structure
AU02121 	   (b) any outstanding works requiring further corrective
AU02121 	       works.
AU01641 	06 M General inspection of all BB tower lighting
AU01641 	
AU01641 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01641 	1. Work in the Bolte Bridge Towers shall be carried out as per
AU01641 	TMI-3012-SA-0112 Bolte
AU01641 	   Bridge Tower Access & Aircraft Warning Light Maintenance.
AU01641 	2. Notify the TCRO prior to commencing the job.
AU01641 	3. Access keys for the Bolte Bridge tower entrances are required.
AU01641 	4. Notify the control room prior to accessing the Bridge Tower.
AU01641 	5. Waders and a ladder are required to access the Bridge Tower.
AU01641 	6. Check stairway lights and replace any faulty lamps.  [_ _]
AU01641 	7. Check and test Emergency lighting as per AS 2293.1 & AS 2293.2.
AU01641 	   (a) Operate the self contained emergency lights from their battery
AU01641 	supply by turning off the
AU01641 	         normal lighting power supply.  [_ _]
AU01641 	   (b) The lights must remain alight for at least 90 minutes.  [_ _]
AU01641 	   (c) Replace any faulty lamps.  [_ _]
AU01641 	   (d) Turn on the normal lighting power supply and check that the
AU01641 	battery charger indicator
AU01641 	         functions properly.  [_ _]
AU01641 	   (e) Record the test and correct operation of the system in the
AU01641 	emergency lighting log book
AU01641 	        in the lighting distribution board. [_ _]
AU01641 	8. Replace both Aircraft Warning light with 500/99-230V lamps
AU01641 	(TF000028)supplied by
AU01641 	"   Crouse-Hinds and test for correct operation. (Reference, BHE Western"
AU01641 	Link O&M
AU01641 	    Manual R-WLG-CC-1291 Rev E (M-MCL-OM-526) [_ _]
AU01641 	"9. Inspect lightning antennas, fasteners, brackets, cabling and cable"
AU01641 	connections and record
AU01641 	"    in the """"Work Done"""" area of the job sheet any corrective works thatare"
AU01641 	outstanding.  [_ _]
AU01641 	    (a) Tighten any fasteners and cable connections that are loose.  [_
AU01641 	_]
AU01641 	    (b) Remove any rust and spray paint any exposed fixtures or
AU01641 	fasteners with cold gal.  [_ _]
AU01641 	10. Check lighting distribution board.
AU01641 	"   (a) Carry out visual internal and external inspection for damage,"
AU01641 	"evidence of moisture,"
AU01641 	"         insect infestation, dust and grime (clean as required).  [_ _]"
AU01641 	"   (b) Check cable connections for tightness, signs of overheating, and"
AU01641 	inspect electrical
AU01641 	          equipment. [_ _]
AU01641 	11. Inspect that the three tower tuned mass damper bearings are not
AU01641 	damaged and all ball
AU01641 	     bearings are in place.  [_ _]
AU01641 	"12. Check all feature lighting at the base of the tower, under platform"
AU01641 	 and at road level and
AU01641 	"      record with an """"X"""" the failed lamps on the appropriate form"
AU01641 	      BOLTE BRIDGE TOWER FEATURE LIGHTING  - EAST TOWER TMF-3012-OP-0216
AU01641 	[_ _]
AU01641 	      or
AU01641 	      BOLTE BRIDGE TOWER FEATURE LIGHTING  - WEST TOWER
AU01641 	TMF-3012-OP-0217[_ _]
AU01641 	13. Replace all failed lamps and record with a circle on the
AU01641 	appropriateform
AU01641 	      BOLTE BRIDGE TOWER FEATURE LIGHTING  - WEST TOWER TMF-3012-OP-0217[_
AU01641 	14. Check that all light fittings on parapet are adjusted to marked
AU01641 	settings.  [_  _]
AU01641 	15. Record the number of failed and replaced lamps in the Work Done
AU01641 	areaof the job
AU01641 	      sheet [_ _]
AU01641 	16. Record any corrective actions  such as repair of vandalised
AU01641 	lightingfittings or other
AU01641 	"      works in the """"Work Done"""" area of the Job Sheet. [_ _]"
AU01641 	17. Raise new job sheets to carry out any corrective works that are
AU01641 	required.  [_ _]
AU01641 	"18. Notify the control room on departure from the Bridge Tower."""
AU01776 	03 M Inspect and maintain Batman Ave Escape Stair Fan
AU01776 	
AU01776 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01776 	1. Notify the control room prior to commencing the job as well as prior
AU01776 	to entering the stairwell.
AU01776 	"2. (a) Refer to Maintenance Manual, """"Operating and Maintenance manual"
AU01776 	for Mechanical
AU01776 	"         Services - MCL Tunnels"""" M-STG-ME-27400."
AU01776 	   (b) Refer to AS 1668.1 - Appendix A for detail and methodology of
AU01776 	stair pressurisation
AU01776 	         commissioning tests.
AU01776 	3. Check under the fan cowl and the exit grills for debris that could
AU01776 	restrict the airflow.  [_ _]
AU01776 	4. Ensure the door between Domain Tunnel and the stairwell is closed.
AU01776 	 [_ _]
AU01776 	5. Request the TCO to start the fan ESF-P05 from the TCR.  Ensure the
AU01776 	fan starts.  Check
AU01776 	    that the airflow direction is into the stairwell.  [_ _]
AU01776 	6. (a) NOTE: The alarm to be raised will not call the fire brigade.  It
AU01776 	will register on the local FIP
AU01776 	          and the CCCS as a local alarm.
AU01776 	"    (b) Remove the access cover over the smoke detector, direct """"test"
AU01776 	"smoke"""" from a smoke"
AU01776 	"         generator, as specified on the container, onto the smoke"
AU01776 	detector (on the inlet duct).
AU01776 	         Check that an alarm actuates on the local fire indicator panel.
AU01776 	The smoke detector must
AU01776 	         be in fault for approx 2? mins for the fan to stop and for an
AU01776 	alarm to genrate on
AU01776 	         the CCCS.  [_ _]
AU01776 	7. Check and inspect the Stairwell area.
AU01776 	"   (a) Check each door for damage, as well check the rollers, runners,"
AU01776 	"hinges, handles,"
AU01776 	"         catches, and counter-weights for efficient operation.  [_ _]"
AU01776 	"   (d) With the supply air fan (ESF-P05) operating, record the"
AU01776 	differential air pressure within
AU01776 	         the stairwell and at substation level.  Record readings less
AU01776 	"than 50Pa in the """"Work Done'"
AU01776 	         area of the Job sheet. Notify the superintendent for further
AU01776 	investigation.  [_ _]
AU01776 	"   (e) At each of the doors, starting from the tunnel and working"
AU01776 	towards the fan.
AU01776 	"          Arrange the door catch to be non-functioning, then using a"
AU01776 	"spring balance, measure the"
AU01776 	          force required to open the door.  Record the results in the
AU01776 	"Work Done"""" area of the Job"
AU01776 	"          sheet if a force greater than 11kg is required, as well"
AU01776 	advisethe maintenance
AU01776 	          superintendent for further investigation.   [_ _]
AU01776 	    (f ) Check the time taken for the air pressure to return to the
AU01776 	static reading.  Record in the
AU01776 	"          """"Work Done"""" area of the job sheet if time is greater than 2"
AU01776 	minutes. Notify the
AU01776 	          superintendent for further investigation.
AU01776 	"    (g) Chock each door open, then using an anemometer, measure the"
AU01776 	velocity of air out of the
AU01776 	          open door.  The reading is to be with the door fully open and
AU01776 	with no obstructions.
AU01776 	"         Record the results in the """"Work Done"""" area of the Job sheet"
AU01776 	if the air flow is less than
AU01776 	        1 metre /sec as well advise the maintenance superintendent for
AU01776 	further investigation.  [_ _]
AU01776 	    (h) Check the fan and motor for undue noise and vibrations.   [_ _]
AU01776 	    (i ) Check the fan bearings for noise.   [_ _]
AU01776 	"    (j ) Check the fan unit for damage, corrosion, missing panel"
AU01776 	"fixings, as well as checking"
AU01776 	          the fixings of the unit for security.  [_ _]
AU01776 	8. Ensure the action of opening a stairwell door;
AU01776 	     (a) Generates an alarm at the TCR workstation.
AU01776 	     (b) Causes the fan speed to vary to maintain a positive pressure inthe
AU01776 	stairwell.
AU01776 	"     (c) To replicate the action of the smoke detector, remove the"
AU01776 	BATMAN AVENUE FAN alarm
AU01776 	           relay (mounted in the rear compartment  of the FIP) for at
AU01776 	least two and a half minutes to
AU01776 	           ensure the fan stops.  Replace the relay once the action is
AU01776 	confirmed  [_ _].  The fire
AU01776 	           brigade will not be called)
AU01776 	"9. Run the fan for a further 5 minutes, with the door in both the open"
AU01776 	and the closed position
AU01776 	   then advise the traffic control room to shut the fan down and to turnOFF
AU01776 	the lighting after
AU01776 	"   leaving the stairwell, ensuring that the door to the tunnel is"
AU01776 	closed.
AU01776 	10. Ensure the stairwell is clean and all rubbish and debris is removed
AU01776 	from the stairwell.  [_ _]
AU01776 	"11. Record anything outside normal parameters in the """"Work Done"""" area"
AU01776 	of the Job Sheet.
AU01776 	12. Ensure the door between the stairwell and the Domain Tunnel is
AU01776 	13. Notify the Control Room on completion of the job.
AU01779 	12 M Inspect and maintain Batman Ave Escape Stair Fan
AU01779 	
AU01779 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01779 	1. Notify the control room prior to commencing the job.
AU01779 	"2. Refer to Maintenance Manual, """"Operating and Maintenance manual for"
AU01779 	Mechanical
AU01779 	"    Services - MCL Tunnels"""" M-STG-ME-27400."
AU01779 	3. Carry out the 3 monthly inspection and test of the fan functionality.
AU01779 	4. Lubricate the motor bearings of SF-BAC-1 with Shell Alvania R3
AU01779 	grease.  Grease the
AU01779 	"    bearings while the fan is rotating, continue until the old grease ispurged"
AU01779 	from the grease
AU01779 	    relief port. [_ _]
AU01779 	5. Notify the TCR of intention to move to local control for maintenance.
AU01779 	 [_ _]
AU01779 	"6. At the switchboard, switch the fan AUTO/MANUAL/OFF selector switch"
AU01779 	tothe OFF position.
AU01779 	"   Tag and isolate the fan in accordance with TMI-3012-SA-0103, Low"
AU01779 	Voltage Safety Work
AU01779 	    Instructions
AU01779 	7. Check the fan mounting supports and fasteningsare secure and tight.
AU01779 	"8. Check the fan impeller for build-up of dirt, clearances from housing"
AU01779 	and alignment. [_ _]
AU01779 	9. Work plan for SF-BAC-1
AU01779 	    (a) Carry out an Insulation resistance test on the motor windings.
AU01779 	 Record any results in the
AU01779 	"          """"Work Done"""" area of the job sheet that does not meet"
AU01779 	specifications set out in
AU01779 	           AS3000.   [_ _]
AU01779 	    (b) Carry out an Insulation resistance test on the motor
AU01779 	anti-condensation heater.  Record
AU01779 	"          any results in the """"Work Done"""" area of the job sheet that"
AU01779 	does not meet specifications
AU01779 	          set out in AS3000.   [_ _]
AU01779 	10. At the control cabinet switch the fan control circuit breakers to
AU01779 	ON(SF-BAC-1).
AU01779 	"11. On completion of the job, record anything outside normal parameters"
AU01779 	"in the """"Work Done"""""
AU01779 	      area of the job Sheet.   [_ _]
AU01779 	12. Notify the control room on completion of the job.
AU01777 	03 M Inspect and maintain Yarra Crossing Escape Stair Fan
AU01777 	
AU01777 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01777 	1. Notify the control room prior to commencing the job as well as prior
AU01777 	to entering the stairwell.
AU01777 	"2. (a) Refer to Maintenance Manual, """"Operating and Maintenance manual"
AU01777 	for Mechanical
AU01777 	"         Services - MCL Tunnels"""" M-STG-ME-27400."
AU01777 	   (b) Refer to AS 1668.1 - Appendix A for detail and methodology of
AU01777 	stair pressurisation
AU01777 	         commissioning tests.
AU01777 	3. Check the exhaust grill in the wall of the stairwell to ensure it is
AU01777 	free of debris that would
AU01777 	    restrict the flow of air.   [_ _]
AU01777 	4. Ensure that the door between the Domain Tunnel and the stairwell is
AU01777 	closed.
AU01777 	"5. Check that the door in the link walkway, isolating the stairwell"
AU01777 	fromthe sub-station is closed.
AU01777 	6. Check that both the inlet and exhaust silencers are free from debris
AU01777 	(Use a torch from the
AU01777 	    inlet)
AU01777 	7. Request the traffic control operator to start the fan SA-YPS-01
AU01777 	(ESF-P06) from the TCR.
AU01777 	   Ensure the fan starts. Check that the airflow direction is into the
AU01777 	stairwell. [_ _]
AU01777 	8.   NOTE:  The alarm to be raised will not call the fire brigade.  It
AU01777 	will register on the local FIP
AU01777 	     and CCCS as a local alarm.
AU01777 	"     Remove the access cover over the smoke detector, direct """"test"
AU01777 	"smoke"""" from a smoke"
AU01777 	"     generator, as specified on the container, onto the smoke detector"
AU01777 	(on the inlet duct).  Check
AU01777 	     that an alarm actuates on the local fire indicator panel.   The
AU01777 	smoke detector must be in
AU01777 	     fault for approx 2? mins for the fan to stop and for an alarm to
AU01777 	generate on the CCCS. [_ _]
AU01777 	9. Check and inspect the Stairwell area.
AU01777 	"   (a) Check the inlet grill to the substation, to ensure that it is"
AU01777 	notdamaged and is free of debris
AU01777 	         that would restrict the free flow of air.   [___]
AU01777 	   (b) Ensure that the door between the Domain Tunnel and the stairwell
AU01777 	area is closed.
AU01777 	"   (c) Check each door for damage, as well check the rollers, runners,"
AU01777 	"hinges, handles,"
AU01777 	"         catches, and counter-weights for efficient operation.  [_ _]"
AU01777 	"   (d) With the supply air fan SA-YPS-01 ( ESF-P06) operating, record"
AU01777 	the differential air
AU01777 	        pressure within the stairwell and at substation level.  Record
AU01777 	readings less than 50Pa in
AU01777 	"        the """"Work Done' area of the Job sheet. Notify the"
AU01777 	superintendent for further
AU01777 	       investigation.  [_ _]
AU01777 	"   (e) At each of the doors, starting from the tunnel and working"
AU01777 	towards the fan.
AU01777 	"          Arrange the door catch to be non-functioning, then using a"
AU01777 	"spring balance, measure the"
AU01777 	          force required to open the door.  Record the results in the
AU01777 	"Work Done"""" area of the Job"
AU01777 	"          sheet if a force greater than 11kg is required, as well advise"
AU01777 	the maintenance
AU01777 	          superintendent for further investigation.   [_ _]
AU01777 	    (f ) Check the time taken for the air pressure to return to the
AU01777 	static reading.  Record in the
AU01777 	"          """"Work Done"""" area of the job sheet if time is greater than 2"
AU01777 	minutes. Notify the
AU01777 	          superintendent for further investigation.
AU01777 	"    (g) Chock each door open, then using an anemometer, measure the"
AU01777 	velocity of air out of the
AU01777 	          open door.  The reading is to be with the door fully open and
AU01777 	with no obstructions.
AU01777 	"          Record the results in the """"Work Done"""" area of the Job sheet"
AU01777 	if the air flow is less
AU01777 	          than 1 meter /sec as well advise the maintenance
AU01777 	          investigation.  [_ _]
AU01777 	    (h) Check the fan and motor for undue noise and vibrations.   [_ _]
AU01777 	    (i ) Check the fan bearings for noise.   [_ _]
AU01777 	"    (j ) Check the fan unit for damage, corrosion, missing panel"
AU01777 	"fixings, as well as checking"
AU01777 	          the fixings of the unit for security.  [_ _]
AU01777 	10. Ensure the action of opening a stairwell door;
AU01777 	     (a) Generates an alarm at the TCR workstation.
AU01777 	     (b) Causes the fan speed to vary to maintain a positive pressure
AU01777 	inthe stairwell.
AU01777 	"     (c) To replicate the action of the smoke detector, remove the"
AU01777 	YARRACROSSING EGRESS
AU01777 	           STAIR FAN RELAY (mounted in the rear compartment of the
AU01777 	localFIP) for at least two and
AU01777 	           a half minutes to ensure the fan stops.  Replace the relay
AU01777 	once the action is
AU01777 	           confirmed  [_ _] (A local alarm will register on the CCCS.
AU01777 	 The fire brigade
AU01777 	           will not be called)
AU01777 	"11. Run the fan for a further 5 minutes, with the door in both the open"
AU01777 	and the closed position
AU01777 	      then advise the traffic control room to shut the fan down and to
AU01777 	turn OFF the lighting after
AU01777 	"      leaving the stairwell, ensuring that the door to the tunnel is"
AU01777 	12. Ensure the stairwell is clean and all rubbish and debris is removed
AU01777 	from the stairwell.  [_ _]
AU01777 	"13. Record anything outside normal parameters in the """"Work Done"""" area"
AU01777 	of the Job Sheet.
AU01777 	14. Ensure the door between the stairwell and the Domain Tunnel is
AU01777 	15. Notify the Control Room on completion of the job.
AU01778 	12 M Inspect and maintain Yarra Crossing Escape Stair Fan
AU01778 	
AU01778 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01778 	1. Notify the control room prior to commencing the job.
AU01778 	"2. Refer to Maintenance Manual, """"Operating and Maintenance manual for"
AU01778 	Mechanical
AU01778 	"    Services - MCL Tunnels"""" M-STG-ME-27400."
AU01778 	3. Carry out three monthly inspection and checks. [_ _]
AU01778 	4. Lubricate the motor bearings of SF-YPS-1 with Shell Alvania R3
AU01778 	grease.  Grease the
AU01778 	"   bearings while the fan is rotating, continue until the old grease is"
AU01778 	purged from grease relief
AU01778 	    port. [_ _]
AU01778 	5. Notify the TCR of intention to move to local control for maintenance.
AU01778 	 [_ _]
AU01778 	"6. At the switchboard, switch the fan AUTO/MANUAL/OFF selector switch"
AU01778 	tothe OFF position.
AU01778 	"   Tag and isolate the fan in accordance with TMI-3012-SA-0103, Low"
AU01778 	Voltage Safety Work
AU01778 	    Instructions
AU01778 	7. Check the fan mounting supports and fastenings for security and
AU01778 	tension.  [_ _]
AU01778 	"8. Check the fan impeller for build-up of dirt, clearances from housing"
AU01778 	and alignment. [_ _]
AU01778 	9. Work plan for SF-YPS-1
AU01778 	    (a) Carry out an Insulation resistance test on the motor windings.
AU01778 	 Record any results in the
AU01778 	"          """"Work Done"""" area of the job sheet that does not meet"
AU01778 	specifications set out in
AU01778 	           AS3000.   [_ _]
AU01778 	    (b) Carry out an Insulation resistance test on the motor
AU01778 	anti-condensation heater.  Record
AU01778 	"          any results in the """"Work Done"""" area of the job sheet that"
AU01778 	does not meet specifications
AU01778 	          set out in AS3000.   [_ _]
AU01778 	10. At the control cabinet switch the fan control circuit breakers to
AU01778 	ON(SF-YPS-1).
AU01778 	"11. On completion of the job, record anything outside normal parameters"
AU01778 	"in the """"Work Done"""""
AU01778 	      area of the job Sheet.   [_ _]
AU01778 	"12. Notify the control room on completion of the job."""
AU01771 	12 M Lvl 1 & 2 inspect of Equip Room fire extinguishers
AU01771 	
AU01771 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01771 	"1. The fire extinguisher Levels 1 & 2, inspection & service"
AU01771 	   shall be carried out by the sub-contractor in the presence of
AU01771 	   the electrical / electronic technician.   Work shall be
AU01771 	   carried out in conjunction with the planned 06 M inspection
AU01771 	   of fire alarm panels.
AU01771 	2. Notify the control room prior to commencing the job and
AU01771 	   before entering into each area.  Ensure the sub-contractor
AU01771 	   has informed the MFESM prior to carrying out tests.
AU01771 	3. Fire extinguisher inspection shall be carried out in
AU01771 	"   accordance with AS 1851, Part 2, level 1 & 2 ."
AU01771 	4. Location and numbers of extinguishers is shown on
AU01771 	"   TMF-3012-OP-0213, EQUIPMENT ROOM AND SUBSTATION FIRE"
AU01771 	   EXTINGUISHER - INSPECTION.
AU01771 	"5. Reference drawings include SLG-FS-30900 to SLG-FS-30911,"
AU01771 	   setting out Emergency Management Plan.
AU01771 	6  Access to the Equipment Rooms in the Burnley and Domain
AU01771 	"   tunnels shall be as per Work Instruction, Traffic Control,"
AU01771 	"   TMI-3012-OP-002 and Translink Procedure, PR-RS-IR-059 Plans"
AU01771 	"   19, 20, 21 or 22."
AU01771 	7. Record details of the inspection for each fire extinguisher
AU01771 	"   on TMF-3012-OP-0213, EQUIPMENT ROOM  AND SUBSTATION FIRE"
AU01771 	   EXTINGUISHER - INSPECTION
AU01771 	8. Record the sub-contractors inspection report No. in the  Work
AU01771 	   Done area of the job sheet.
AU01771 	9. Record anything outside normal parameters in the Work Done
AU01771 	   area of the job sheet.
AU01771 	10. Notify control room on completion of the job..
AU01772 	12 M Lvl 1 Inspection of SL fire extinguishers
AU01772 	
AU01772 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01772 	"1. The fire extinguisher  Level 1, inspection & service shall be"
AU01772 	   carried out by the sub-contractor in the presence of the
AU01772 	   electrical / electronic technician.  Work shall be carried
AU01772 	   out in conjunction with the planned 06 M inspection of fire
AU01772 	   alarms panels.
AU01772 	2. Notify the control room prior to commencing the job and
AU01772 	   before entering into each area.  Ensure the sub-contractor
AU01772 	   has informed the MEFSM prior to carrying out tests.
AU01772 	3. Fire extinguisher inspection shall be carried out in
AU01772 	"   accordance with AS 1851, Part 2, level 1."
AU01772 	"4. Reference drawings include SLG-FS-30900 to SLG-FS-30911,"
AU01772 	   setting out Emergency Management Plan.
AU01772 	5. Access to the Equipment rooms in the Burnley and Domain
AU01772 	"   tunnels shall be as per Work instruction,  Traffic Control,"
AU01772 	"   TMI-3012-OP-002 and Translink Procedure, PR-RS-IR-059"
AU01772 	"   Plans 19, 20 21 or 22."
AU01772 	6. Record details of inspection for each fire extinguisher on
AU01772 	"   TMI-3012-OP-0213, FIRE EXTINGUISHERS - INSPECTION, Southern"
AU01772 	   Link.
AU01772 	7. Record the sub-contractors inspection report No. in the Work
AU01772 	   Done area of the job sheet.
AU01772 	8. Record anything outside normal parameters in the Work Done
AU01772 	   area of the Job Sheet.
AU01772 	9. Notify control room on your departure from each area.
AU01755 	03 M inspect of LIEBERT AC units mounted within Mezz Lvl
AU01755 	
AU01755 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01755 	1. Notify the control room prior to commencing work.
AU01755 	"2. Access to the Mobile telephone rooms, RRB room, ERE 00 and"
AU01755 	   ERE01 is via the Grant Street Stairwell.  The rooms are
AU01755 	   located on the mezzanine floor adjacent to ERE01.
AU01755 	   The Air Conditioners and the condensers are separate units.
AU01755 	"3. Reference manual, Entire Mechanical Services, Operating and"
AU01755 	   Maintenance Manual for Mechanical Services at  Melbourne City
AU01755 	   Link Tunnel Project.  M-STG-ME-27400.
AU01755 	4. Work plan for ACU Air Conditioning Unit
AU01755 	"4.1. With the unit running, Check for undue noise and any"
AU01755 	     vibration.   [_ _]
AU01755 	4.2. Check the temperature set points as follows
AU01755 	     a. Check that the temperature shown on the microprocessor
AU01755 	        LED display is consistent with the ambient temperature
AU01755 	        measured with a portable thermometer.  Ambient
AU01755 	        temperature should be within 2 degrees of the
AU01755 	        thermostat setting.   [_ _]
AU01755 	     b. Check that the system accepts changes in the setpoint by
AU01755 	        the following steps
AU01755 	        (i) Hold control SEL key down for 5 seconds (St1 will be
AU01755 	            displayed)
AU01755 	       (ii) Release key and current setpoint blinks
AU01755 	      (iii) Use down key to adjust setpoint 5 deg lower and note
AU01755 	            setting.
AU01755 	       (iv) Press SEL key to confirm setting
AU01755 	        (v) Press SEL key twice to exit setpoint mode.
AU01755 	"       (vi) Wait until unit cuts out,  and verify that"
AU01755 	            temperature shown on unit  is consistent with
AU01755 	            new setpoint and verify temperature is consistent
AU01755 	            with ambient (+ or - 1 deg) using portable
AU01755 	            thermometer.   [_ _]
AU01755 	     c. Repeat the above steps to restore the setpoint to the
AU01755 	        original setting.   [_ _]
AU01755 	     d. Verify that unit cooling cycle cuts in when new set
AU01755 	        point is reached and verify that the temperature is
AU01755 	        consistent with ambient using the portable
AU01755 	        thermometer.   [_ _]
AU01755 	        NOTE:  LED display blinks in reverse mode during heating
AU01755 	       cycle.
AU01755 	4.3. Shut down unit and check that the air flow alarm operates
AU01755 	     and that the control room receives the alarm.   [_ _]
AU01755 	4.4. Check the filters and replace if necessary
AU01755 	     (a) RRB Room and ERE 01 - Filter type Liebert size
AU01755 	         650x590x75 mm.   [_ _]
AU01755 	     (b) ERE 00 - Filter type Liebert size 500 x 450 x
AU01755 	         50mm.   [_ _]
AU01755 	4.5. Remove and clean condensate tray and confirm drain line is
AU01755 	     clear.   [_ _]
AU01755 	4.6. Restart unit and set for remote operation.   [_ _]
AU01755 	5. Work plan for the ACC Condenser Unit
AU01755 	5.1. Inspect the condenser unit and check for undue cycling
AU01755 	     operation.   [_ _]
AU01755 	5.2. Check for undue noise or any vibration while the fan is
AU01755 	     running.   [_ _]
AU01755 	5.3. Switch the fan OFFusing the local isolating switch.   [_ _]
AU01755 	5.4. Inspect  for loose connections or leaking coils.   [_ _]
AU01755 	5.5. Remove debris and dirt build up from fan and coil area
AU01755 	"5.6. Clean condenser coils, if required using compressed air."
AU01755 	5.7. Switch the fan ON at the fan isolating switch.   [_ _]
AU01755 	5.8. Check for normal operation at the Air Conditioner
AU01755 	     Unit.   [_ _]
AU01755 	6.0 Sweep and clean the Equipment room and associated adjacent
AU01755 	    thoroughfares:
AU01755 	6.1 Sweep the floor and remove accumulated cob webs from the
AU01755 	    walls.   [___]
AU01755 	6.2 Vacuum the control panel enclosures and any surfaces that
AU01755 	    will collect dust deposits.   [___]
AU01755 	6.3 Vacuum interiors of any wall mounted control
AU01755 	    enclosure.  [___]
AU01755 	6.4 Clean the front panels of all accumulated dirt and
AU01755 	    dust.   [___]
AU01755 	6.5 Note and record any evidence of water or drainage problems.
AU01755 	    Clear any blockages.
AU01755 	6.6 Remove from site all accumulated debris and rubbish.   [_ _]
AU01755 	7.0. Carry out an inspection of the equipment room and record
AU01755 	     the results on form Equipment Room Inspections
AU01755 	     TMF-3012-OP-0347.  Ensure the form Equipment Room
AU01755 	     Inspections TMF-3012-OP-0347 is returned to the Electrical
AU01755 	     Electronics Supervisor or his representative.  Raise a new
AU01755 	     jobsheet for any outstanding works.
AU01755 	8.0 On completion of job record anything outside normal
AU01755 	    parameters in the Work Done section of the job sheet and
AU01755 	    report to the Team Leader or his representative and raise a
AU01755 	    new job for any repairs.
AU01755 	9. Notify the control room on completion of the job.
AU01820 	12 M Inspect of LEBERT AC units mounted within Mezzanine Lvl
AU01820 	
AU01820 	**COMPLETE JOBSTART BEFORE COMMENCEMENT OF WORK**
AU01820 	1. The 12 month service of the air conditioner shall be carried
AU01820 	   out by the sub-contractor in the presence of the electrical
AU01820 	   electronic technician and in conjunction with the 3 monthly
AU01820 	   service.
AU01820 	2. Notify the control room prior to commencing work.
AU01820 	"3. Access to the Mobile telephone rooms, RRB room, ERE 00 and"
AU01820 	   ERE 01 is via the Grant Street Stairwell.  The rooms are
AU01820 	   located on the mezzanine floor adjacent to ERE01.
AU01820 	   The Air Conditioners and the condensers are separate units.
AU01820 	"4. Reference manual, Entire Mechanical Services, Operating and"
AU01820 	   Maintenance Manual for Mechanical Services at  Melbourne City
AU01820 	   Link Tunnel Project.  M-STG-ME-27400.
AU01820 	5. Check the electrical switchboard for
AU01820 	   (a) faulty indicating lamps   [_ _]
AU01820 	"   (b) connections, contacts, wiring and or components that may"
AU01820 	       be overheated.   [_ _]
AU01820 	6. Compare the meter readings of the motor current with the
AU01820 	   nameplate ratings.   [_ _]
AU01820 	7. The sub-contractor shall carry out the following electrical
AU01820 	   service:
AU01820 	   (a) Check switchboard for overload settings.   [_ _]
AU01820 	   (b) Check all electrical control equipment operations and
AU01820 	       calibration.   [_ _]
AU01820 	   (c) Check functionality and calibration of microprocessor
AU01820 	       based controls.   [_ _]
AU01820 	8. The sub-contractor shall carry out the following mechanical
AU01820 	   service at the compressor.
AU01820 	   (a) Accurately assess and record compressor
AU01820 	       superheat.   [_ _]
AU01820 	   (b) Check and record the suction and discharge
AU01820 	       pressures.   [_ _]
AU01820 	   (c) Check that the suction and discharge pressures are normal
AU01820 	       and stable.   [_ _]
AU01820 	   (d) Check the setting and operation of the high and low
AU01820 	       pressure cut out switches. [_ _]
AU01820 	   (e) Confirm that the refrigerant charge is correct and that
AU01820 	       there are no leaks.   [_ _]
AU01820 	   (f) Check the crankcase heater for correct
AU01820 	       operation.   [_ _]
AU01820 	"   (g) Confirm that the refrigerant is dry (use sight glass),"
AU01820 	       fit a new dryer if required.   [_ _]
